region,year,deaths_per_100k,missing_per_100k,affected_per_100k,drr_adoption_pct
National Capital Region (NCR),2016,0.3,0,657.5,52.9
National Capital Region (NCR),2017,0.4,0.0,111.3,88.3
National Capital Region (NCR),2018,0.1,0.0,833.2,76.5
National Capital Region (NCR),2019,0.7,0.0,161.4,88.3
National Capital Region (NCR),2020,0.1,0.0,717.6,82.4
National Capital Region (NCR),2021,0.1,0.0,354.2,100.0
National Capital Region (NCR),2022,0.2,0.0,484.9,94.1
National Capital Region (NCR),2023,0.1,0.0,374.9,100.0
Cordillera Administrative Region (CAR),2016,1.1,0.0,30273.7,94.0
Cordillera Administrative Region (CAR),2017,0.3,0.0,146.8,75.9
Cordillera Administrative Region (CAR),2018,9.1,0.1,36910.2,97.5
Cordillera Administrative Region (CAR),2019,2.2,0.0,7365.8,75.9
Cordillera Administrative Region (CAR),2020,1.5,0.0,435.3,79.5
Cordillera Administrative Region (CAR),2021,2.1,0.1,14641.8,61.5
Cordillera Administrative Region (CAR),2022,4.7,0.2,30952.1,56.6
Cordillera Administrative Region (CAR),2023,1.6,0.3,29806.9,72.3
Region I,2016,0.1,0.0,12388.4,44.8
Region I,2017,0.4,0.0,173.2,80.2
Region I,2018,0.3,0.1,61932.6,100.0
Region I,2019,0.5,0.0,2826.9,80.2
Region I,2020,0.1,0.2,2090.7,74.4
Region I,2021,0.5,0.3,19375.7,76.7
Region I,2022,0.1,0.0,6542.6,83.7
Region I,2023,0.5,0.0,26689.2,86.0
Region II,2016,0.5,0.0,41610.9,100.0
Region II,2017,0.2,0.0,2369.5,58.7
Region II,2018,0.3,0.0,44133.8,100.0
Region II,2019,0.6,0.0,20460.4,58.7
Region II,2020,1.0,0.2,31791.9,49.0
Region II,2021,0.2,0.0,2998.9,55.1
Region II,2022,0.7,0.1,15808.7,62.2
Region II,2023,0.8,0.4,10180.2,53.1
Region III,2016,0.1,0.0,10795.0,59.0
Region III,2017,0.1,0.0,97.7,99.7
Region III,2018,0.1,0.0,24390.0,99.3
Region III,2019,0.9,0.0,1373.3,99.7
Region III,2020,0.1,0.0,24752.5,100.0
Region III,2021,0.1,0.0,8415.6,100.0
Region III,2022,0.2,0.0,13420.4,98.5
Region III,2023,0.1,0.0,29988.3,100.0
Region IV-A,2016,0.3,0.2,1994.8,99.8
