region,province,municipality_city,housing_units,strong_ratio,light_ratio,salvage_ratio,total_population,hospital,rural_health_unit,barangay_health_station,municipal_health_office,birthing_home,number_of_evacuation_center,drr_adoption_pct,deaths_per_100k,missing_per_100k,affected_per_100k,housing_resilience_score,health_access_index,evacuation_capacity,population_pressure,disaster_intensity_municipal,vulnerability_index,impact_score,risk_class
BARMM,BASILAN,AKBAR,2560,0.172265625,0.82578125,0,17531,0,1,9,0,1,0,53.7,0.7,0,6892.4,0.58515625,11,0,6.848046875,7.097903924872023,7.220798858972254,6.999304524076321,High
BARMM,BASILAN,AL BARKA,3647,0.13792157938031258,0.8582396490265972,0.0016451878256100905,20905,0,1,4,0,0,0,53.7,0.7,0,6892.4,0.5670414038936111,5,0,5.73210858239649,7.273788089687985,6.14633930439356,5.858717714058356,High
BARMM,BASILAN,LAMITAN,14751,0.337061894108874,0.6529048878042166,0.006508033353670938,74782,2,3,15,0,5,0,53.7,0.7,0,6892.4,0.6635143380109823,25,0,5.069622398481459,8.547877193780684,5.309686583598416,5.181598729791102,High
BARMM,BASILAN,HADJI MOHAMMAD AJUL,2747,0.18565708045140153,0.8077903167091373,0.005096468875136513,19307,0,1,5,0,0,0,53.7,0.7,0,6892.4,0.5895522388059702,6,0,7.028394612304332,7.1943248455787,7.416215502480974,7.183635729259719,High
BARMM,BASILAN,HADJI MUHTAMAD,3921,0.08849783218566692,0.90640142820709,0.004845702626880897,25085,0,1,0,0,1,0,53.7,0.7,0,6892.4,0.5416985462892119,2,0,6.397602652384596,7.455954219168247,6.848867600349986,6.538911021703276,High
BARMM,BASILAN,LANTAWAN,4440,0.15022522522522522,0.8484234234234235,6.756756756756757e-4,24594,0,1,9,0,1,0,53.7,0.7,0,6892.4,0.574436936936937,11,0,5.539189189189189,7.4361982110319635,5.922694315653122,5.661537173926916,High
BARMM,BASILAN,MALUSO,6019,0.12311015118790497,0.8753945838179099,8.30702774547267e-4,40646,0,1,3,0,1,0,53.7,0.7,0,6892.4,0.5608074430968599,5,0,6.752948994849643,7.938363288059545,7.173480135163301,6.9021061498659435,High
BARMM,BASILAN,SUMISIP,7388,0.12452625879805089,0.8669463995668651,0.007579859231185706,41730,0,1,16,0,1,0,53.7,0.7,0,6892.4,0.5579994585814835,18,0,5.648348673524635,7.964673884291865,6.021106771825744,5.773107740907727,High
BARMM,BASILAN,TABUAN LASA,3069,0.03160638644509612,0.9683936135549038,0,24188,0,1,4,0,1,0,53.7,0.7,0,6892.4,0.5158031932225481,6,0,7.88139459107201,7.41956223788126,8.342987050571304,8.055476521153482,High
BARMM,BASILAN,TIPO TIPO,3117,0.16811036252807188,0.8261148540263074,3.208213025344883e-4,19163,0,2,3,0,0,0,53.7,0.7,0,6892.4,0.5811677895412255,5,0,6.147898620468399,7.186844099729653,6.547994262418858,6.283691600432721,High
BARMM,BASILAN,TUBURAN,2985,0.21105527638190955,0.7835845896147404,0,20207,0,1,0,0,1,0,53.7,0.7,0,6892.4,0.6028475711892798,2,0,6.7695142378559465,7.239852758148233,7.159608550775166,6.919037281096911,High
BARMM,BASILAN,UNGKAYA PUKAN,3060,0.2088235294117647,0.784640522875817,0.005555555555555556,18441,0,1,0,0,1,0,53.7,0.7,0,6892.4,0.6011437908496732,2,0,6.026470588235294,7.14846882673387,6.418259543100979,6.159581501469817,High
BARMM,LANAO DEL SUR,BACOLOD KALAWI,2087,0.3933876377575467,0.6008624820316243,4.791566842357451e-4,20841,0,1,5,0,1,0,53.7,0.7,0,6892.4,0.6938188787733588,7,0,9.986104456157163,7.270724054843059,10.265775295703685,10.206674599884298,High
BARMM,LANAO DEL SUR,BALABAGAN,4685,0.4104589114194237,0.5880469583778015,0.0014941302027748132,26819,0,1,3,0,1,0,53.7,0.7,0,6892.4,0.7044823906083244,5,0,5.724439701173959,7.522757381771155,6.001254333385524,5.850879444838642,High
BARMM,LANAO DEL SUR,BALINDONG,3960,0.5457070707070707,0.44116161616161614,0,29180,0,1,6,0,1,0,53.7,0.7,0,6892.4,0.7662878787878787,8,0,7.3686868686868685,7.607086588339506,7.572031293888563,7.531444261105731,High
BARMM,LANAO DEL SUR,BAYANG,2517,0.45212554628526025,0.5391338895510528,0.0011918951132300357,23965,0,1,3,0,0,0,53.7,0.7,0,6892.4,0.7216924910607867,4,0,9.521255462852602,7.4103056057321695,9.784739800017759,9.73155815847575,High
BARMM,LANAO DEL SUR,BINIDAYAN,2749,0.36413241178610406,0.514368861404147,0.014186977082575483,22079,1,1,0,0,0,0,53.7,0.7,0,6892.4,0.6213168424881775,2,0,8.031647871953437,7.328389780522643,8.403281767275997,8.209048552394972,High
BARMM,LANAO DEL SUR,BUADIPOSO BUNTONG,1550,0.5238709677419355,0.47483870967741937,6.451612903225806e-4,16130,0,1,3,0,1,0,53.7,0.7,0,6892.4,0.7612903225806452,5,0,10.406451612903226,7.014685888397409,10.626407505993132,10.636306261232315,High
BARMM,LANAO DEL SUR,BUBONG,2227,0.3991917377638078,0.5990121239335429,8.98069151324652e-4,22336,0,1,2,0,1,0,53.7,0.7,0,6892.4,0.6986977997305792,4,0,10.029636281993714,7.339955021302122,10.316108275430635,10.251167943910813,High
BARMM,LANAO DEL SUR,BUMBARAN,1776,0.34515765765765766,0.6537162162162162,0,10401,0,1,1,0,1,0,53.7,0.7,0,6892.4,0.6720157657657657,3,0,5.856418918918919,6.576401782628214,6.173387641580444,5.985773780801603,High
BARMM,LANAO DEL SUR,BUTIG,2491,0.37374548374146926,0.6258530710558009,0,19302,0,1,2,0,1,0,53.7,0.7,0,6892.4,0.6866720192693697,4,0,7.748695303091128,7.194066033106591,8.047178488090438,7.91984621025461,High
BARMM,LANAO DEL SUR,CALANOGAS,1820,0.1010989010989011,0.889010989010989,0.0032967032967032967,13750,0,1,2,0,1,0,53.7,0.7,0,6892.4,0.5456043956043956,4,0,7.554945054945055,6.855199345696219,7.994461976940599,7.721816463504415,High
BARMM,LANAO DEL SUR,DITSAAN RAMAIN,1976,0.49139676113360325,0.506578947368421,0.0020242914979757085,22299,0,1,3,0,1,0,53.7,0.7,0,6892.4,0.7446862348178138,5,0,11.28491902834008,7.338298206129548,11.521511370424593,11.534177007060235,High
BARMM,LANAO DEL SUR,GANASSI,2390,0.3112970711297071,0.6598326359832636,0.021757322175732216,23016,0,1,0,0,1,0,53.7,0.7,0,6892.4,0.641213389121339,2,0,9.630125523012552,7.369925743945061,9.981867025298293,9.84283290856484,High
BARMM,LANAO DEL SUR,KAPAI,1716,0.21037296037296038,0.7896270396270396,0,18894,0,1,2,0,1,0,53.7,0.7,0,6892.4,0.6051864801864801,4,0,11.01048951048951,7.172717944679319,11.390456099762867,11.253685970580351,High
BARMM,LANAO DEL SUR,KAPATAGAN,2456,0.16164495114006514,0.8375407166123778,0,15521,0,1,3,0,1,0,53.7,0.7,0,6892.4,0.5804153094462541,5,0,6.319625407166124,6.97623419935217,6.720452468221517,6.45921143798326,High
BARMM,LANAO DEL SUR,LUMBA BAYABAO,3336,0.39928057553956836,0.5983213429256595,0,36151,0,1,2,0,1,0,53.7,0.7,0,6892.4,0.6984412470023982,4,0,10.836630695443645,7.82121183075949,11.123407367289692,11.075987013065394,High
BARMM,LANAO DEL SUR,LUMBACA UNAYAN,835,0.34251497005988024,0.6574850299401198,0,7260,0,1,0,0,0,0,53.7,0.7,0,6892.4,0.6712574850299402,1,0,8.694610778443113,6.21748208456475,9.020083991037971,8.886654788945153,High
BARMM,LANAO DEL SUR,LUMBATAN,2263,0.3848873177198409,0.6111356606274856,4.418912947414936e-4,19105,0,1,0,0,1,0,53.7,0.7,0,6892.4,0.6904551480335837,2,0,8.442333186036235,7.183815140680593,8.744814318349404,8.628804963135288,High
